,ds,yhat_lower,yhat,yhat_upper
354,2019-12-21,1298264.070049132,2256851.042658843,3278641.070865398
355,2019-12-22,1195744.9177265621,2167755.9937443463,3155003.785834208
356,2019-12-23,1192567.31848988,2176356.8907913677,3155595.6412878046
357,2019-12-24,1303531.2358526206,2263850.922530716,3179929.838515145
358,2019-12-25,1470822.2064480714,2370355.678081516,3383480.2287560576
359,2019-12-26,1547043.8013993625,2506918.111627119,3462109.651630537
360,2019-12-27,1520576.0282155874,2521550.3445480685,3420936.026521908
361,2019-12-28,1561371.0429369698,2553561.9772889563,3457361.181319212
362,2019-12-29,1554076.0922003747,2493558.0392026864,3461012.207377828
363,2019-12-30,1538827.3432349258,2524027.9286270663,3575286.464988545
364,2019-12-31,1690288.052024556,2626072.2630969174,3565890.930664804
365,2020-01-01,1752263.2062321657,2739895.7471775417,3681971.7005288145
366,2020-01-02,1882112.4352069572,2876808.933098694,3836684.829423541
367,2020-01-03,1859181.819485985,2885252.2788237543,3903830.654931904
368,2020-01-04,1883040.202072912,2905112.548496148,3836170.890343075
369,2020-01-05,1839769.3404318695,2827701.1666758507,3880156.3934315494
370,2020-01-06,1857610.1933931909,2836320.4584008832,3837737.9586774134
371,2020-01-07,1948590.4720071082,2912965.3547789054,3909409.2882937207
372,2020-01-08,2006896.9494789888,2998789.3927774485,3984694.4329317957
373,2020-01-09,2190357.21848549,3106078.6465654704,4081035.4083884824
374,2020-01-10,2092723.4856738036,3084247.776903012,4155431.3520913958
375,2020-01-11,2021841.7640348757,3074129.0231645764,3992692.071705893
376,2020-01-12,1949607.6342379395,2967924.505228612,4018032.5739357197
377,2020-01-13,2014997.8026777671,2949748.4783053105,3909167.076253639
378,2020-01-14,2092227.5819262308,3002307.7671166686,4036293.377080128
379,2020-01-15,2098830.574860564,3067349.772794369,4032806.592873274
380,2020-01-16,2200552.842172744,3157622.1572308685,4051087.1443887465
381,2020-01-17,2097151.5883906712,3122858.748933715,4067656.6919670473
382,2020-01-18,2104000.986043442,3104062.7333610402,4044103.727099004
383,2020-01-19,2079093.5209541412,2993457.6081791176,4029828.4565006755
384,2020-01-20,2020829.0245798577,2975032.532157579,3996511.861066595
385,2020-01-21,2024676.3171665967,3031230.1533578928,3998424.6492740577
386,2020-01-22,2087241.6290620903,3103406.0475477804,4050858.13236437
387,2020-01-23,2187836.530803105,3203803.495644579,4183069.864746879
388,2020-01-24,2195749.3232829217,3181557.666105628,4193507.637223801
389,2020-01-25,2249337.451314691,3176999.699088036,4117778.5168307386
390,2020-01-26,2151774.1457401654,3081630.53523384,4088841.212670568
391,2020-01-27,2116547.8257567543,3078690.4273283305,4148737.4919196176
392,2020-01-28,2176450.0223619374,3149871.497117863,4190045.3378457795
393,2020-01-29,2289478.8114629886,3235801.732760405,4228314.976483573
394,2020-01-30,2351626.1058343737,3348043.4292889596,4394531.211801983
