,date,rev,discount
213,2019-08-02,2230018.6255771504,1321114.0
214,2019-08-03,2262602.459451424,1475924.0
215,2019-08-04,1887646.2969638119,1202447.0
216,2019-08-05,1916136.3800289542,1116689.0
217,2019-08-06,1805401.5443047602,1145951.0
218,2019-08-07,1887897.5865828576,1118641.0
219,2019-08-08,1831385.3127847626,1006921.0
220,2019-08-09,1950220.0170811405,1122720.0
221,2019-08-10,1289069.8620571443,729286.0
222,2019-08-11,713466.0812266666,430370.0
223,2019-08-12,1019837.0729828589,665829.0
224,2019-08-13,1111038.575169523,622833.0
225,2019-08-14,1007046.8192144769,587704.0
226,2019-08-15,1196180.4158925707,644609.0
227,2019-08-16,1074182.565836192,577183.0
228,2019-08-17,956067.98902781,598436.0
229,2019-08-18,1217821.6033523805,678923.0
230,2019-08-19,1175937.432434287,712992.0
231,2019-08-20,1205240.6034285726,804349.0
232,2019-08-21,1333994.6186133341,785241.0
233,2019-08-22,1492864.769820954,954377.0
234,2019-08-23,1577723.4314780973,1039413.0
235,2019-08-24,1591843.30328,968193.0
236,2019-08-25,1632163.0746857156,1086902.0
237,2019-08-26,1663692.9130133335,1088638.0
238,2019-08-27,1747365.4171558088,1198459.0
239,2019-08-28,2129197.9089752357,1445528.0
240,2019-08-29,2052796.0180419078,1295136.0
241,2019-08-30,1636289.7844000023,1134256.0
242,2019-08-31,1423620.713813332,894661.0
243,2019-09-01,1574754.5454857126,1006642.0
244,2019-09-02,1707247.092967619,1106468.0
245,2019-09-03,1708741.8932053323,1214824.0
246,2019-09-04,1837351.5128228604,900429.0
247,2019-09-05,1425983.6876419052,837622.0
248,2019-09-06,1670977.8158704767,1036917.0
249,2019-09-07,1635100.5793904779,998292.0
250,2019-09-08,1451342.0381790467,985930.0
251,2019-09-09,1580098.991230477,967177.0
252,2019-09-10,1533639.853348575,852454.0
253,2019-09-11,1631528.116022858,992016.0
254,2019-09-12,1638025.0522895239,892078.0
255,2019-09-13,1393530.806491429,811276.0
256,2019-09-14,1287193.0425219066,770999.0
257,2019-09-15,1209235.591565714,662241.0
258,2019-09-16,1227537.6447276196,731049.0
259,2019-09-17,1333980.82681143,807087.0
260,2019-09-18,1327779.0329904757,763229.0
261,2019-09-19,1368092.8876106672,887828.0
262,2019-09-20,1346456.5841752405,757580.0
263,2019-09-21,1400140.7836495263,876868.0
264,2019-09-22,1371636.7810910502,850668.0
265,2019-09-23,1621558.9120685689,934599.0
266,2019-09-24,1534815.4323161913,890883.0
267,2019-09-25,1709741.6473219036,1094847.0
268,2019-09-26,1937022.4187580945,1176828.0
269,2019-09-27,1863651.3710438083,1095920.0
270,2019-09-28,1613862.2975809528,1055371.0
271,2019-09-29,1448046.3271695233,942155.0
272,2019-09-30,1685301.3542514283,1139908.0
273,2019-10-01,1381249.8012723827,838367.0
274,2019-10-02,1460656.0372358058,817042.0
275,2019-10-03,1492366.9799619035,875327.0
276,2019-10-04,1715125.945615237,1027925.0
277,2019-10-05,1485514.821051429,890095.0
278,2019-10-06,1256941.3096990467,806250.0
279,2019-10-07,1329662.1129371424,738491.0
280,2019-10-08,1283651.316974475,787984.0
281,2019-10-09,1588862.168646856,898434.0
282,2019-10-10,1427061.7988190458,765302.0
283,2019-10-11,1410506.7266057148,702158.0
284,2019-10-12,1437107.861638093,837796.0
285,2019-10-13,1379726.9840358095,772793.0
286,2019-10-14,1312815.7872312407,775161.0
287,2019-10-15,1325640.2053599984,720874.0
288,2019-10-16,1292080.0316647617,714899.0
289,2019-10-17,1520734.3817676178,1078137.0
290,2019-10-18,1376393.4241904758,899810.0
291,2019-10-19,1831547.0734011424,1173557.0
292,2019-10-20,1507200.98329143,1032722.0
293,2019-10-21,1906562.4045737174,1169211.0
294,2019-10-22,1645678.6112799977,1119696.0
295,2019-10-23,1620178.078079997,1067748.0
296,2019-10-24,1868961.065287621,1213170.0
297,2019-10-25,1688384.3942415263,1114418.0
298,2019-10-26,1918602.559828571,1189838.0
299,2019-10-27,1915039.8107268591,1260961.0
300,2019-10-28,1501092.8166095263,938355.0
301,2019-10-29,1580452.4354666627,1033380.0
302,2019-10-30,1366678.3134095278,750373.0
303,2019-10-31,2944893.68489905,1590424.0
304,2019-11-01,3974572.938560003,2486462.0
305,2019-11-02,3552116.4028038015,2126667.0
306,2019-11-03,1354156.349965712,813037.0
307,2019-11-04,1184389.3308038102,814128.0
308,2019-11-05,1596790.9672647624,902856.0
309,2019-11-06,1484821.1694384755,912138.0
310,2019-11-07,1370274.4263146669,707736.0
311,2019-11-08,1236080.581881905,722250.0
312,2019-11-09,1238180.1298666669,732903.0
313,2019-11-10,3541901.919668574,2336318.0
314,2019-11-11,5777357.659372176,5054484.0
315,2019-11-12,4897825.509721901,4170230.0
316,2019-11-13,2505623.7029257184,2032540.0
317,2019-11-14,1951181.2221409495,1176059.0
318,2019-11-15,2031748.2203695239,1113900.0
319,2019-11-16,1496905.3419657126,847947.0
320,2019-11-17,1485306.7772952383,934340.0
321,2019-11-18,1621020.1872342885,1050507.0
322,2019-11-19,1726320.5515885723,1101350.0
323,2019-11-20,2068903.0035580944,1184446.0
324,2019-11-21,4400381.147744776,2893358.0
325,2019-11-22,3963085.233059062,2729809.0
326,2019-11-23,3643489.386834284,2591062.0
327,2019-11-24,3331399.239481909,2235213.0
328,2019-11-25,3065555.9588495214,1858132.0
329,2019-11-26,2612790.2457904792,1647196.0
330,2019-11-27,2760971.6319619063,1701610.0
331,2019-11-28,3729770.584205705,2413051.0
332,2019-11-29,5376809.231531436,3742641.0
333,2019-11-30,4875910.477315815,3650279.0
334,2019-12-01,3392384.0600861004,2380283.0
335,2019-12-02,4111691.886767996,2887003.0
336,2019-12-03,3569612.6684137154,2576948.0
